	log2FoldChange	pvalue	padj
ENSG00000134827	-2.82546354760846	0.00663739181273555	0.533816643613561
ENSG00000240233	-1.17624895618714	0.00662333697433756	0.533816643613561
ENSG00000275910	1.12274065571646	0.00665606787548081	0.533816643613561
ENSG00000142973	1.63586138930243	0.00711905756875969	0.53502739412269
ENSG00000057468	-1.07747401992754	0.00711155174187347	0.53502739412269
ENSG00000143369	-0.933385744265395	0.00704993187973971	0.53502739412269
ENSG00000215853	-3.8866944090924	0.00675286283391928	0.53502739412269
ENSG00000134376	1.6882561779411	0.00695288576630954	0.53502739412269
ENSG00000162897	-2.61119365900145	0.00713665679815733	0.53502739412269
ENSG00000231482	-2.04419152555178	0.00686415156492457	0.53502739412269
ENSG00000224559	-2.45893322819833	0.00716102617329174	0.53502739412269
ENSG00000188452	1.57643873003374	0.00697052939574346	0.53502739412269
ENSG00000114268	-0.99050691283677	0.00685838787311639	0.53502739412269
ENSG00000181826	-0.409858777290321	0.00669230581210897	0.53502739412269
ENSG00000272108	-1.25555133186902	0.0069066088548831	0.53502739412269
ENSG00000250072	-1.71740665625525	0.00686701743555021	0.53502739412269
ENSG00000240936	-2.70528134430153	0.0067990430204154	0.53502739412269
ENSG00000112715	-1.00471874303739	0.00673793039965521	0.53502739412269
ENSG00000213078	-3.2776851545159	0.00718605297905042	0.53502739412269
ENSG00000204118	2.24051472361789	0.00689059005640894	0.53502739412269
ENSG00000255207	2.1480959079075	0.00707325274651348	0.53502739412269
ENSG00000200885	-1.67978635152805	0.00711531123425252	0.53502739412269
ENSG00000275389	0.829026517251812	0.00710529144751472	0.53502739412269
ENSG00000140465	-2.92871523827964	0.0067775058283484	0.53502739412269
ENSG00000279693	1.28574557159606	0.00696965942448536	0.53502739412269
ENSG00000277200	1.875659141809	0.00703219198532756	0.53502739412269
ENSG00000179148	-1.99867251347422	0.00719325565122124	0.53502739412269
ENSG00000104881	-0.754988316003686	0.00699707961437889	0.53502739412269
ENSG00000167755	-2.00139269991659	0.0071361379798781	0.53502739412269
ENSG00000142149	0.880889056754755	0.00714861818863784	0.53502739412269
ENSG00000241370	-0.717966207132543	0.00721259302020269	0.535027443099164
ENSG00000101935	-0.58420732591003	0.00726143184854766	0.53577748751324
ENSG00000186976	1.00029531445681	0.00724670320096087	0.53577748751324
ENSG00000257038	-0.969847675060908	0.00732551438158952	0.53906823783032
ENSG00000091137	1.54012185146201	0.00736968964618272	0.539449584180502
ENSG00000095752	-1.3125304315741	0.00736026614213099	0.539449584180502
ENSG00000122012	-1.48339632979032	0.00744495291231487	0.540650567144705
ENSG00000183921	1.54797486109985	0.0074764453027271	0.540650567144705
ENSG00000108342	-2.08437200509763	0.00748379656714815	0.540650567144705
ENSG00000005884	-0.913846644302175	0.00746745703674304	0.540650567144705
ENSG00000179913	-1.29124078260967	0.00744540123862702	0.540650567144705
ENSG00000112394	-0.783420124229869	0.00752606358052049	0.541286605612711
ENSG00000170608	-1.72522130534542	0.00755128952135987	0.541286605612711
ENSG00000255568	0.864611771045988	0.00754950343058566	0.541286605612711
ENSG00000113600	-1.47038214511881	0.00763403318718757	0.542295322834119
ENSG00000176402	1.65864148711193	0.00764851158181546	0.542295322834119
ENSG00000153707	1.05084305565061	0.00766335867679138	0.542295322834119
ENSG00000198785	1.5972636825783	0.00761678647227453	0.542295322834119
ENSG00000245750	1.77554658452513	0.00762544359067967	0.542295322834119
ENSG00000248840	1.23507734565047	0.00771545222079709	0.543203174293218
ENSG00000008513	-0.689182174688633	0.00770700862463833	0.543203174293218
ENSG00000109072	-1.73009652756263	0.0077592725987918	0.544901811005001
ENSG00000134115	2.12037264632342	0.0078374740130278	0.546234429386565
ENSG00000213853	0.736740158220677	0.00783205291661863	0.546234429386565
ENSG00000268751	1.45498727208794	0.00781160976474804	0.546234429386565
ENSG00000232437	0.908459794566141	0.00788127760886972	0.547907211456825
