logFC	P.Value	adj.P.Val	sig_adjP_lfc1	sig_pval_lfc1	sig_adjP_lfc2	sig_pval_lfc2	sig_adjP_lfc3	sig_pval_lfc3
SLC25A3	0.406866221855335	0.0763073956293323	0.971395001212652	-	-	-	-	-	-
REX1BD	0.522945548624453	0.076334264932305	0.971395001212652	-	-	-	-	-	-
TOR1B	-0.645253148663969	0.0764209447638876	0.971395001212652	-	-	-	-	-	-
DNAJA2	-0.466891848663216	0.0768659049219094	0.971395001212652	-	-	-	-	-	-
ZNF638	-0.42827525172305	0.077329383614037	0.971395001212652	-	-	-	-	-	-
ZBED1	-0.753924677334354	0.0778713282167512	0.971395001212652	-	-	-	-	-	-
HLA-DRB1	-0.661985136698698	0.078070619745487	0.971395001212652	-	-	-	-	-	-
OPTN	0.537493716711055	0.0781589768077827	0.971395001212652	-	-	-	-	-	-
STUB1	0.475925937468115	0.0782069879935116	0.971395001212652	-	-	-	-	-	-
NME1	0.433968359730898	0.0787448849786897	0.971395001212652	-	-	-	-	-	-
UNC119	0.365944803842693	0.0790076494311389	0.971395001212652	-	-	-	-	-	-
CCT2	-0.540772997248227	0.0794224288980755	0.971395001212652	-	-	-	-	-	-
SNUPN	0.576830880705672	0.0794428480363922	0.971395001212652	-	-	-	-	-	-
COX6C	0.442152892603088	0.0794540707019509	0.971395001212652	-	-	-	-	-	-
ARMC1	-0.439947867887149	0.0798144827715675	0.971395001212652	-	-	-	-	-	-
CLIC1	-0.434020470409747	0.0800442022359038	0.971395001212652	-	-	-	-	-	-
POLA1	-0.620467960224179	0.0803723906982319	0.971395001212652	-	-	-	-	-	-
TIA1	-0.535635073846225	0.0804759816539007	0.971395001212652	-	-	-	-	-	-
PGLS	0.32862301088695	0.0809433896972641	0.971395001212652	-	-	-	-	-	-
NSUN5	-0.372225981348252	0.0812266588024012	0.971395001212652	-	-	-	-	-	-
CSTB	0.537378287462235	0.0814874282701358	0.971395001212652	-	-	-	-	-	-
BET1	-0.517358167162714	0.0816268484349636	0.971395001212652	-	-	-	-	-	-
DPH5	-0.441803739139546	0.0819567076320118	0.971395001212652	-	-	-	-	-	-
PSMA5	-0.613532792885876	0.0820909534184931	0.971395001212652	-	-	-	-	-	-
CFI	-1.09042059381297	0.0824706155872474	0.971395001212652	-	-	-	-	-	-
KCTD2	0.307550211895913	0.0825430561404259	0.971395001212652	-	-	-	-	-	-
BTN3A1	-0.679967562071683	0.0828545244292982	0.971395001212652	-	-	-	-	-	-
DPP8	0.462906922393666	0.0833096968826106	0.971395001212652	-	-	-	-	-	-
SQLE	0.676026978006518	0.0833396995699485	0.971395001212652	-	-	-	-	-	-
TGOLN2	0.406720540206269	0.084357898802688	0.971395001212652	-	-	-	-	-	-
SRSF9	0.409083221739955	0.0843764832183847	0.971395001212652	-	-	-	-	-	-
GLA	-0.481301419223123	0.084425540536312	0.971395001212652	-	-	-	-	-	-
NSG1	1.21428279469395	0.0845005119235666	0.971395001212652	-	-	-	-	-	-
EHD2	0.389728388939616	0.084900379579356	0.971395001212652	-	-	-	-	-	-
ENC1	-0.953345489475164	0.08527465743785	0.971395001212652	-	-	-	-	-	-
USP16	0.573066191369546	0.0853171251526443	0.971395001212652	-	-	-	-	-	-
C2CD2	0.64539464070304	0.085408595439678	0.971395001212652	-	-	-	-	-	-
ID3	-0.898323079555361	0.0856862150706698	0.971395001212652	-	-	-	-	-	-
NISCH	0.367471684425461	0.0863583799846537	0.971395001212652	-	-	-	-	-	-
